                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.62322,                0.27064,                0.88241,                0.96865,                0.98077,                0.98687,                0.84603,                0.60745,                0.25441,                0.87325,             0.00021896,             0.00021896,             0.00021896
                     72,                0.62413,                0.26769,                0.88588,                0.96861,                0.98096,                0.98689,                0.84662,                 0.6074,                0.25381,                0.87314,             0.00020611,             0.00020611,             0.00020611
                     73,                0.62508,                0.26732,                0.88516,                0.96968,                0.97834,                 0.9869,                0.84673,                0.60739,                0.25342,                0.87319,             0.00019355,             0.00019355,             0.00019355
                     74,                 0.6193,                0.26406,                0.88201,                0.97002,                0.97871,                0.98692,                0.84728,                0.60715,                0.25281,                0.87311,             0.00018129,             0.00018129,             0.00018129
                     75,                0.61307,                0.26542,                0.88037,                0.97002,                0.97865,                0.98683,                0.84714,                0.60708,                0.25263,                0.87309,             0.00016934,             0.00016934,             0.00016934
                     76,                0.60862,                0.25941,                0.87831,                0.96964,                0.98096,                0.98683,                0.84731,                0.60691,                0.25245,                0.87304,             0.00015773,             0.00015773,             0.00015773
                     77,                0.61506,                0.26153,                0.87845,                 0.9688,                0.98096,                0.98676,                0.84738,                0.60687,                0.25223,                0.87297,             0.00014645,             0.00014645,             0.00014645
                     78,                0.61108,                0.25635,                0.87936,                 0.9693,                0.98096,                0.98676,                0.84782,                0.60683,                0.25187,                0.87299,             0.00013552,             0.00013552,             0.00013552
                     79,                0.60644,                0.25532,                 0.8761,                0.97006,                0.98009,                0.98664,                0.84749,                0.60672,                0.25136,                0.87309,             0.00012494,             0.00012494,             0.00012494
                     80,                  0.607,                0.25405,                0.88052,                0.97043,                0.98029,                0.98663,                0.84786,                0.60647,                 0.2512,                0.87301,             0.00011474,             0.00011474,             0.00011474
                     81,                0.60215,                0.25281,                 0.8774,                0.97044,                0.98061,                 0.9867,                0.84755,                0.60638,                0.25077,                 0.8729,             0.00010492,             0.00010492,             0.00010492
                     82,                0.60425,                0.25336,                0.87783,                0.97009,                0.98058,                 0.9867,                0.84772,                0.60638,                0.25049,                0.87289,             9.5492e-05,             9.5492e-05,             9.5492e-05
                     83,                 0.6025,                0.24894,                 0.8751,                0.97034,                0.98021,                0.98664,                0.84809,                0.60636,                0.25024,                0.87286,              8.646e-05,              8.646e-05,              8.646e-05
                     84,                0.60398,                 0.2509,                0.87576,                 0.9708,                0.98058,                 0.9866,                 0.8476,                0.60647,                0.24978,                0.87285,             7.7836e-05,             7.7836e-05,             7.7836e-05
                     85,                0.59701,                0.24741,                0.87586,                 0.9711,                0.98058,                0.98652,                0.84765,                0.60637,                0.24938,                 0.8728,             6.9629e-05,             6.9629e-05,             6.9629e-05
                     86,                0.60902,                 0.2492,                0.87814,                0.97101,                0.98058,                 0.9865,                0.84833,                0.60628,                0.24933,                0.87274,             6.1847e-05,             6.1847e-05,             6.1847e-05
                     87,                 0.5977,                0.24449,                0.87138,                0.97079,                0.98059,                0.98645,                0.84798,                0.60617,                0.24891,                0.87269,             5.4497e-05,             5.4497e-05,             5.4497e-05
                     88,                0.60065,                0.24394,                0.87596,                 0.9708,                0.98096,                0.98643,                0.84839,                0.60628,                0.24832,                0.87271,             4.7586e-05,             4.7586e-05,             4.7586e-05
                     89,                0.59829,                0.24097,                 0.8761,                 0.9708,                0.98087,                0.98636,                0.84865,                0.60625,                0.24811,                0.87269,             4.1123e-05,             4.1123e-05,             4.1123e-05
                     90,                 0.6003,                0.24259,                0.87852,                 0.9708,                0.98089,                 0.9864,                 0.8487,                0.60608,                0.24764,                 0.8726,             3.5112e-05,             3.5112e-05,             3.5112e-05
                     91,                0.59279,                0.23142,                0.87264,                 0.9708,                 0.9808,                0.98641,                0.84846,                0.60562,                0.24747,                 0.8725,              2.956e-05,              2.956e-05,              2.956e-05
                     92,                0.59479,                0.22809,                0.87168,                 0.9708,                 0.9808,                0.98642,                0.84866,                 0.6052,                0.24694,                0.87239,             2.4472e-05,             2.4472e-05,             2.4472e-05
                     93,                0.59557,                0.22824,                0.87223,                0.97068,                0.98096,                 0.9865,                 0.8489,                0.60477,                0.24717,                0.87235,             1.9853e-05,             1.9853e-05,             1.9853e-05
                     94,                0.58857,                0.22669,                0.87183,                0.97068,                0.98096,                0.98645,                0.84912,                0.60431,                0.24621,                0.87232,             1.5708e-05,             1.5708e-05,             1.5708e-05
                     95,                0.58574,                0.22364,                0.86904,                0.97046,                0.98137,                0.98634,                0.84884,                0.60403,                0.24564,                0.87226,             1.2042e-05,             1.2042e-05,             1.2042e-05
                     96,                0.58897,                 0.2233,                0.86995,                0.97082,                0.98142,                0.98641,                0.84927,                0.60361,                0.24522,                0.87223,             8.8564e-06,             8.8564e-06,             8.8564e-06
                     97,                0.59129,                0.22415,                0.87064,                0.97082,                0.98147,                0.98641,                 0.8492,                0.60329,                0.24468,                0.87212,             6.1558e-06,             6.1558e-06,             6.1558e-06
                     98,                0.59012,                0.22382,                0.86938,                0.97082,                0.98157,                0.98636,                0.84933,                0.60292,                0.24479,                0.87201,             3.9426e-06,             3.9426e-06,             3.9426e-06
                     99,                0.58951,                0.22534,                 0.8716,                0.97082,                0.98142,                0.98644,                0.84942,                0.60261,                0.24435,                0.87202,              2.219e-06,              2.219e-06,              2.219e-06
                    100,                0.58737,                0.22247,                0.87115,                0.97153,                0.98116,                0.98638,                0.84946,                0.60235,                0.24402,                0.87196,             9.8664e-07,             9.8664e-07,             9.8664e-07
